File Name,Title,Body
236115487.html,Forms to complete prior to enrollment,"<h1>Forms to complete prior to enrollment</h1><p>First, please read&nbsp;<a href=https://ucsantabarbaraextension.zendesk.com/hc/en-us/articles/360009634714-The-FAQ-for-the-Young-Scholar-Program->The FAQ for the Young Scholar Program&nbsp;</a>and&nbsp;<a href=https://ucsantabarbaraextension.zendesk.com/hc/en-us/articles/216874358-How-do-I-enroll-in-Open-University->How do I enroll in Open University?.</a></p><p>Second, students under the age of 18 at the beginning of a quarter must complete and submit the following forms:</p><ul><li><a href=https://professional.ucsb.edu/sites/default/files/pdfs/ou/Waiver.pdf rel=noopener target=_blank>Waiver of Liability, Assumption of Risk & Indemnity Agreement</a></li><li><a href=https://professional.ucsb.edu/sites/default/files/pdfs/ou/Authorization.pdf rel=noopener target=_blank>Authorization to Consent to Treatment of Minor</a></li><li><a href=https://files.podio.com/808962961>Adding Open University Student to GauchoSpace</a></li></ul><p>Completed forms are required each quarter in which a student enrolls in Open University courses. All completed forms and payment are due at time of enrollment.</p>"
228046227.html,Reporting Acts of Intolerance or Misconduct,"<h1>Reporting Acts of Intolerance or Misconduct</h1><div class=""article-body markdown""><p>If you notice acts of intolerance or form of misconduct that violates campus policies, we encourage you to report such behavior and to seek assistance for yourself or others from the following resources:</p><ul><li>Hate Incident Response Coordinator: please visit the <a href=http://judicialaffairs.sa.ucsb.edu/ target=_blank>UCSB Office of Judicial Affairs page</a>&nbsp;for online reporting or call (805) 893-4364</li><li><a href=http://wgse.sa.ucsb.edu/CARE target=_blank>Campus Advocacy Resources Education (CARE)</a>, which confidential resources and information on reporting options for sexual violence, sexual assault, abusive relationships, and stalking: Student Resource Building or call (805) 893-4613 for the 24-hour advocacy line</li><li><a href=http://police.ucsb.edu target=_blank>UCSB Police Department</a>: call (805) 893-3446 (or dial 9-1-1 in an emergency)</li><li><a href=http://www.sbsheriff.org/ivfp.html target=_blank>Isla Vista Foot Patrol</a>: call (805) 681-4179 (or dial 9-1-1 in an emergency)</li></ul></div>"
217414477.html,Forms for Open University Courses,"<h1>Forms for Open University Courses</h1><ul><li><a href=http://enroll.professional.ucsb.edu/pdfs/forms/Open_Req_Chg_Grading_Option.pdf rel=""noopener noreferrer"" target=_blank title=""Request for Change of Grading Option"">Request for Change of Grading Option</a>[PDF]</li><li><a href=http://enroll.professional.ucsb.edu/pdfs/forms/Open_Petition_Late_Drop.pdf rel=""noopener noreferrer"" target=_blank title=""Petition for Late Drop from a Open Course"">Petition for Late or Retroactive Drop</a>[PDF]</li><li><a href=http://enroll.professional.ucsb.edu/pdfs/forms/Open_Pet_Late_Retroactive_Add.pdf rel=""noopener noreferrer"" target=_blank title=""Petition for Retroactive Add a Open Course"">Petition for Late or Retroactive Enrollment</a>[PDF]</li></ul>"
360043977853.html,"What are the electives for the Environmental & Climate Advocacy, Leadership, & Activism Certificate?","<h1>What are the electives for the Environmental & Climate Advocacy, Leadership, & Activism Certificate?</h1><p><strong>The following UCSB Academic electives are able to community through <a href=https://professional.ucsb.edu/open-university target=_self>Open University</a></strong></p><p>&nbsp;</p><p><strong>Anthropology</strong><br>ANTH 147, Water and Society, Casey Walsh<br>ANTH 152, Environmental Anthropology, Jeffrey Hoelle<br>ANTH 197ER, Development and Decay: Urban Infrastructure and the Politics of Inequality, Elana Resnick</p><p>&nbsp;</p><p><strong>Black Studies</strong> <br>BLST 154, Environmental Racism and Environmental Justice, Jeffrey Stewart</p><p>&nbsp;</p><p><strong>East Asian Languages and Cultural Studies</strong> <br>EACS 140/ANTH 191, Indigenous Movements in Asia, Ann-Elise Lewallen<br>EACS 141, Environmental Justice in Asia, Ann-Elise Lewallen</p><p>&nbsp;</p><p><strong>English</strong><br>ENGL 122CC, Cultural Representations: The Rhetoric of Climate Change, Ken Hiltner<br>ENGL 122EA, Environmental Activism, Ken Hiltner<br>ENGL 192, Science Fiction, Melody Jue</p><p>&nbsp;</p><p><strong>Environmental Studies</strong> <br>ENV S 102, Qualitative Methods for Environmental Studies, Summer Gray ENV S 116, Building Sustainable Communities, David Pellow<br>ENV S 117, Transition to a Low Carbon Society, Simone Pulver<br>ENV S 155, The Built World: Infrastructure and Environmental Change, Summer Gray<br>ENV S 176, Energy, Politics and Policy, Leah Stokes<br>ENV S 180, Global Environmental Movements, David Pellow<br>ENV S 181, Power, Justice, and the Environment, David Pellow<br>ENV S 182, Field Seminar in Personal and Community Resilience, Summer Gray <br>ENVS 195, Environmental Leadership Incubator, Simone Pulver</p><p>Film and Media Studies <br>FAMST 166EM, Energy, Media and Culture, Mona Damluji<br>FAMST 183, Film and Media of the Natural and Human Environment, Janet Walker, Staff<br>FAMST 187ME, Media and Environment, Alenda Chang<br>FAMST 187CN, Comparative Natures, Alenda Chang</p><p>&nbsp;</p><p><strong>Global Studies</strong> <br>GLOBL 173, Energy in Global Societies, Javiera Barandiaran<br>GLOBL 174, Global Perspectives on Environment and Society, Jia-Ching Chen</p><p>&nbsp;</p><p><strong>Interdisciplinary Studies</strong><br>INT 133B, What's Wrong with the World? What Can We Do about It?, John Foran and Ken Hiltner</p><p>&nbsp;</p><p><strong>Political Science</strong><br>POLS 176, Energy, Politics and Policy, Leah Stokes<br>POLS 177, Comparative Environmental Politics, Matto Mildenberger</p><p>&nbsp;</p><p><strong>Sociology</strong></p><p>SOC 118GK - Sociology of Garbage,&nbsp;Dana Kornberg<br>SOC 130SD, The World in 2050: Sustainable Development and <br>Its Alternatives, John Foran<br>SOC 130EV: Eco Vista - Creating Systemic Alternatives, John Foran<br>SOC 134A, Activism, John Foran<br>SOC 134EC, Earth in Crisis, John Foran<br>SOC 134CJ, Climate Justice, John Foran</p><p>&nbsp;</p><p><strong>Writing</strong> <br>WRIT 107EP, Writing for Environmental Professions, Auli Eck, Staff<br>WRIT 109ES, Writing for Environmental Studies</p>"
216845928.html,No Smoking Policy,"<h1>No Smoking Policy</h1><p>As of January 2014, <a href=http://tobaccofree.ucsb.edu/policy/ target=_blank>the entire University of California system is smoke-free and tobacco-free</a>. Smoking, the use of smokeless tobacco products, e-cigarettes, and unregulated products is not allowed on UC-owned or leased properties.</p>"
360043250633.html,How do I enroll?,"<h1>How do I enroll?</h1><div class=""article-body markdown""><p>For information on enrolling in Open University,<span>&nbsp;</span><a href=https://ucsantabarbaraextension.zendesk.com/hc/en-us/articles/216874358-How-do-I-enroll-in-Open-University->please go here</a>.</p></div><p>&nbsp;</p>"
228377128.html,Is your Child Life Program Accredited?,"<h1>Is your Child Life Program Accredited?</h1><p><span style=""font-weight: 400;"">Yes, UCSB Professional and Continuing Education (PaCE) is fully accredited by the WASC Senior College & University Commission (WSCUC). All courses in the program are approved for professional-level, post-graduate credit. This type of credit is typically recognized by government and industry for full or partial tuition funding or reimbursement. Course units and/or continuing education units (CEU) values are listed with the course descriptions. </span> UCSB's current accreditation, please see: <a href=https://evc.ucsb.edu/wasc/ rel=noopener target=_blank>UCSB WASC Senior College and University Commission</a> description from the Office of the Executive Vice Chancellor.</p>"
360018938314.html,What are the Medical Humanities electives?,"<h1>What are the Medical Humanities electives?</h1><p><strong>Medical Humanities Electives are listed below. Students may also petition up to 4 quarter units to count other relevant, but unlisted, courses as electives.</strong></p><p><strong>Elective Courses (Updated Fall, 2020)</strong></p><p>&nbsp;</p><p><strong>[By Department]</strong></p><p><em>Black Studies</em></p><p>15&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The Psychology of Blacks</p><p>106&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Women and Politics of the Body</p><p>137E&nbsp;&nbsp;&nbsp; The Sociology of Black Experience</p><p>138&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; African Religions in the Americas</p><p>154&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Environmental Racism and Environmental Justice</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p><p><em>Chicana/o Studies</em></p><p>124&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to US Xicana/o(x) & Latinx Public Art</p><p>137&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Xicana/o(x) Oral/Visual Traditions: Spirituality as Resistance in meXicana/o Art Practice and Culture</p><p>134&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Chicana/Latina Public Art</p><p>149&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Body, Culture, Power</p><p>187&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Language, Power, Learning (Crosslisted with Linguistics 187)</p><p>&nbsp;</p><p><em>Classics:</em></p><p>60&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Science and Medicine in Ancient Greece</p><p>&nbsp;</p><p><em>Comparative Literature</em></p><p>36&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Global Humanities</p><p>186FL&nbsp;&nbsp; Vegetarianism: Food, Literature, Philosophy</p><p>27&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Memory: Bridging the Humanities and Neuroscience</p><p>192CA&nbsp; Cognitive Approaches to World Literature&nbsp;(cross-listed as ENG190)</p><p><em>&nbsp;</em></p><p><em>East Asian Languages and Cultural Studies</em></p><p>CHIN 48&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ethics and Society according to Classical Chinese Thought</p><p>CHIN 163A&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sex, Drugs and Chinese Meditation [cross-listed as RGST 163A]</p><p>CHIN 180QC&nbsp;&nbsp;&nbsp; Queer, Crippled China</p><p>EACS 7 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Asian Values</p><p>EACS 47&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to Daoism [cross-listed as RGST 47]</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p><p><em>English:</em></p><p>50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to US Minority Literature</p><p>109 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Writing of Verse</p><p>134FC Flor y Canto Poetry Reading & Writing from Xicano/a/x Perspective</p><p>137B&nbsp;&nbsp;&nbsp; Latinx Poetry, Spoken Word, and Performance Art</p><p>170&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; series (Literature and Mind emphasis)</p><p>170 LM Literature and Medicine</p><p>170 IM Introduction to Literature and Mind</p><p>170 MB Mind, Brain and Literature</p><p>170DA Disability Aesthetics</p><p>170 MT Modern Thought and Literature</p><p>171&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Literature and the Human Mind</p><p>171LE&nbsp; &nbsp;Literature and Emotion</p><p>175HR&nbsp; Human Rights</p><p>190&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Cognitive Approaches to World Literature [cross-listed as Comp Lit 192CA]</p><p><em>&nbsp;</em></p><p><em>Feminist Studies</em></p><p>40&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Women, Reproduction, and Cultural Production</p><p>130&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Perspectives on Women's Health</p><p>161&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Constructions of Sexuality</p><p><em>&nbsp;</em></p><p><em>French and Italian Studies</em></p><p>ITAL 139YY:&nbsp;&nbsp;&nbsp;&nbsp; Cultural Representations in Italy: Italy in the Age of the Coronavirus</p><p>FR 154: &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Medicine and Comedy</p><p>ITAL 160:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Senior Seminar: Italian Biopolitics</p><p>&nbsp;</p><p><em>History</em></p><p>20&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Science Technology and Medicine in Modern Society</p><p>74&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Poverty, Inequality, and Social Justice in Historical and Global Context</p><p>101G&nbsp;&nbsp;&nbsp; Comparative History of Same Sex Practices and Gender Variance</p><p>105CW Science and Technology in Cold War US</p><p>106B&nbsp;&nbsp;&nbsp; The Scientific Revolution, 1500-1800</p><p>133D&nbsp;&nbsp;&nbsp; The Nazi Holocaust and Other Genocides</p><p>168N&nbsp;&nbsp;&nbsp; Interracial Intimacy</p><p>175D&nbsp;&nbsp;&nbsp; American Family History</p><p>193F&nbsp;&nbsp;&nbsp; Food in World History</p><p><em>&nbsp;</em></p><p><em>INT</em></p><p>35HD&nbsp;&nbsp; History of Disease</p><p>75&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Medicine for Underserved Communities</p><p>133A&nbsp;&nbsp;&nbsp; Memory: An Interdisciplinary Exploration</p><p>156EE&nbsp; Environmental Ethics (cross-listed as RS156EE)</p><p>156BE&nbsp; Bioethics (cross-listed as 156BE)</p><p>175&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Health Policy and Access to Care</p><p>184PD&nbsp; Honors Seminar - Introduction to Clinical Medicine (Blain)</p><p>187AC&nbsp; Community-based Participatory Research on Health Disparities</p><p>199H&nbsp;&nbsp;&nbsp; Honors Independent Study - Clinical Research (Blain)</p><p><em>&nbsp;</em></p><p><em>Linguistics</em></p><p>50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Language and Power</p><p>180&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Language, Race, and Ethnicity</p><p>187&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Language, Power, and Learning (Crosslisted with CHST 187)</p><p><em>&nbsp;</em></p><p><em>Philosophy</em></p><p>4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to Ethics</p><p>7&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Biomedical Ethics</p><p>100&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ethics</p><p>131&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Advanced Topics in Ethics</p><p>138&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Normative Ethics</p><p>141&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; History of Ethics</p><p><em>&nbsp;</em></p><p><em>Religious Studies</em></p><p>12&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Religious Approaches to Death</p><p>14&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to Native American Religious Studies</p><p>18&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Comparing Religions</p><p>47&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to Daoism</p><p>61&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; African Religions in the Americas</p><p>71&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to the Religion of Asian America</p><p>101B&nbsp;&nbsp;&nbsp; Religious Experience</p><p>110L&nbsp;&nbsp;&nbsp;&nbsp; LGBT Religious History: Queering the Spirit</p><p>123&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Asian American Religion</p><p>156BE&nbsp; Biomedical Ethics [cross-listed as INT 156BE]</p><p>156CC&nbsp; Seminar in Social Ethics</p><p>161E&nbsp;&nbsp;&nbsp; Buddhist Cognitive and Contemplative Sciences</p><p>193B&nbsp;&nbsp;&nbsp; Religion and Healing in Global Perspective</p><p><em>&nbsp;</em></p><p><em>Spanish and Portuguese</em></p><p>145&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Spanish for Healthcare</p><p><em>&nbsp;</em></p><p><em>Writing</em></p><p>105SW Science Writing for the Public</p><p>105WE Writing and Ethics</p><p>109HP&nbsp; Writing for the Health Professions</p><p>109ST&nbsp; Writing for Science and Technology</p><p>&nbsp;</p><p>&nbsp;</p>"
4635886341523.html,What is the last date to submit grades for PaCE courses this quarter?,"<h1>What is the last date to submit grades for PaCE courses this quarter?</h1><p dir=ltr><font face=""verdana, sans-serif"">Last date to submit the grades for PaCE courses is the Sunday after the ""Grades Submissions Deadline"" for the UCSB campus as listed <a data-saferedirecturl=""https://www.google.com/url?q=https://registrar.sa.ucsb.edu/calendars/calendars-deadlines/registration-deadlines/2021-2022-registration-calendar&source=gmail&ust=1646851248046000&usg=AOvVaw2DcYFXtnKHwxaqrue7vPj6"" href=https://registrar.sa.ucsb.edu/calendars/calendars-deadlines/registration-deadlines/2022-2023-registration-calendar rel=noopener target=_blank>here</a>.&nbsp;</font><font face=""verdana, sans-serif"">Accordingly, the last days to submit grades for Academic Calendar 2022-2023 are as below:</font></p><p dir=ltr><font face=""verdana, sans-serif"">&nbsp;</font></p><p dir=ltr><font face=""verdana, sans-serif"">Spring 2023: Sunday, June 25, 2023</font></p><p dir=ltr><font face=""verdana, sans-serif"">Summer 2023: Sunday, September 24, 2023</font></p><p dir=ltr>&nbsp;</p><p dir=ltr><font face=""verdana, sans-serif"">Please find instructions on how to submit grades for PaCE Courses <a href=https://ucsantabarbaraextension.zendesk.com/hc/en-us/articles/360042987713-Instructor-Portal-Grading-Instructions target=_self>here</a>.</font></p><p dir=ltr>&nbsp;</p>"
10316326905107.html,How to Access Big Interview?,"<h1>How to Access Big Interview?</h1><p><strong> Login via UCSB PaCE to Big Interview</strong></p><p><span style=""font-weight: 400;"">-Click the button below to register for a Big Interview account using your UCSB email address. Open your confirmation email and click Verify to begin using your account.</span><span style=""font-weight: 400;""></span></p><p><span style=""font-weight: 400;""><a href=https://ucsb.biginterview.com/ >Login to Big Interview</a></span></p><p>&nbsp;</p><p>&nbsp;</p>"
