Section ID,Section Name
205167407,Academic Information 205167407 
115003226808,Applying to International Programs 115003226808 
5995553603603,COVID-19 UCSB Campus Policy 5995553603603 
360008196453,COVID-19 Updates for International Students 360008196453 
115004104927,Drop-Refund-Transfer-Withdrawal 115004104927 
203880568,Enrollment Information 203880568 
360010154654,FAQ - Paralegal Studies 360010154654 
206527688,FAQs - Applied Behavior Analysis 206527688 
1500000092741,FAQs - Business Administration and Management 1500000092741 
206286048,FAQs - Child Life 206286048 
360005474534,FAQs - Emergency Medical Technician (EMT) 360005474534 
203938147,FAQs - Professional Certificate Programs 203938147 
1500000095662,FAQs - Technology Management Program 1500000095662 
115003405728,FAQs - Young Scholars Program 115003405728 
203889208,Financial Assistance
203828167,Frequently Asked Questions 203828167 
203868748,General Information 203868748 
203868758,General Questions about Open University 203868758 
4403441066131,GROW Financial Aid FAQs 4403441066131 
203880588,Housing and International Student Life 203880588 
360002424034,International Diploma Program 360002424034 
203859427,Open University Academic Information 203859427 
203896908,Open University Enrollment Information 203896908 
115003411348,Open University for Community & Career Professionals 115003411348 
203900318,Open University for UCSB Students 203900318 
360005416773,Quick Start Guide for PaCE Instructors 360005416773 
205166067,Registration  205166067 
205571848,SSO Agents only (Student Resources) 205571848 
360008231394,Teaching Online 360008231394 
205526108,University Immersion Program 205526108 
